Zip,City,State,Latitude,Longitude,Latitude Radians,Longitude Radians,Timezone,Daylight savings time flag,geopoint
98416,Tacoma,WA,47.264577,-122.482076,0.824922488,-2.137715501,-8,1,"47.264577, -122.482076"
98409,Tacoma,WA,47.208987,-122.48053,0.82395226,-2.137688518,-8,1,"47.208987, -122.48053"
98406,Tacoma,WA,47.26302,-122.49518,0.824895313,-2.137944209,-8,1,"47.26302, -122.49518"
98407,Tacoma,WA,47.28392,-122.50433,0.825260087,-2.138103906,-8,1,"47.28392, -122.50433"
98465,Tacoma,WA,47.247735,-122.52818,0.82462854,-2.138520167,-8,1,"47.247735, -122.52818"
98466,Tacoma,WA,47.230402,-122.53272,0.824326022,-2.138599405,-8,1,"47.230402, -122.53272"
98438,Tacoma,WA,47.151297,-122.567631,0.822945379,-2.139208717,-8,1,"47.151297, -122.567631"
98433,Tacoma,WA,47.080682,-122.57987,0.821712915,-2.139422328,-8,1,"47.080682, -122.57987"
98587,Taholah,WA,47.32251,-124.25814,0.82593361,-2.168713665,-8,1,"47.32251, -124.25814"
98588,Tahuya,WA,47.433993,-123.02078,0.827879355,-2.147117659,-8,1,"47.433993, -123.02078"
99033,Tekoa,WA,47.222328,-117.08133,0.824185104,-2.043454701,-8,1,"47.222328, -117.08133"
98589,Tenino,WA,46.857968,-122.8326,0.817825822,-2.143833299,-8,1,"46.857968, -122.8326"
99176,Thornton,WA,47.117965,-117.41047,0.822363626,-2.049199278,-8,1,"47.117965, -117.41047"
98946,Thorp,WA,47.087352,-120.71232,0.821829328,-2.106827432,-8,1,"47.087352, -120.71232"
98947,Tieton,WA,46.707735,-120.75713,0.815203762,-2.107609514,-8,1,"46.707735, -120.75713"
98590,Tokeland,WA,46.737458,-123.98121,0.815722526,-2.163880325,-8,1,"46.737458, -123.98121"
98591,Toledo,WA,46.433226,-122.80083,0.810412676,-2.143278808,-8,1,"46.433226, -122.80083"
98855,Tonasket,WA,48.689509,-119.32169,0.849792243,-2.08255636,-8,1,"48.689509, -119.32169"
98948,Toppenish,WA,46.35653,-120.33462,0.809074078,-2.100235323,-8,1,"46.35653, -120.33462"
99360,Touchet,WA,46.059286,-118.67264,0.803886192,-2.0712283,-8,1,"46.059286, -118.67264"
98649,Toutle,WA,46.352771,-122.66054,0.809008471,-2.140830285,-8,1,"46.352771, -122.66054"
98393,Tracyton,WA,47.626717,-122.649953,0.831243024,-2.140645507,-8,1,"47.626717, -122.649953"
98650,Trout Lake,WA,45.981582,-121.5395,0.802530001,-2.121264446,-8,1,"45.981582, -121.5395"
99034,Tumtum,WA,47.858074,-117.74582,0.835280965,-2.055052239,-8,1,"47.858074, -117.74582"
