API,Country,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
INTL.4418-1-COD-QBTU.A,        Congo-Kinshasa,0.043619212,0.043129078,0.04265232,0.04662464,0.04850424,0.051973825,0.054360984,0.054043353,0.053643504,0.060881152,0.057928738,0.054329816,0.061979606,0.056421157,0.054066156,0.062872264,0.0623502,0.050799462,0.047538414,0.053655822,0.060583739,0.061109362,0.061536477,0.06174225,0.070182112,0.073182681,0.073846955,0.076521928,0.072998432,0.07536672,0.075521196,0.075133828,0.071627884,0.077911806,0.08323152,0.082463831,0.08341112,0.086731182
INTL.4418-1-COK-QBTU.A,        Cook Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00E-06,9.92E-07,9.88E-07,9.85E-07,9.76E-07,9.76E-07,9.72E-07,9.52E-07,7.6328E-06,0.00001902,0.000037276,0.000055392,0.000055278
INTL.4418-1-CRI-QBTU.A,        Costa Rica,0.021794024,0.023634233,0.024692348,0.0295086,0.03110076,0.028718803,0.029938236,0.030986106,0.03117848,0.034289984,0.034825896,0.037872244,0.04157484,0.045235892,0.0451325,0.041278936,0.04457574,0.055109348,0.049995891,0.061284418,0.069295393,0.070099072,0.075343988,0.073572745,0.080831691,0.081743138,0.082916236,0.08532432,0.089096035,0.08577088,0.08653572,0.086414104,0.089881717,0.087302533,0.088335693,0.100915874,0.100006487,0.103038192
INTL.4418-1-HRV-QBTU.A,        Croatia,--,--,--,--,--,--,--,--,--,--,--,--,0.044511968,0.04453488,0.050414292,0.053797704,0.07409644,0.053475268,0.055145376,0.066734876,0.059114795,0.066988839,0.054028803,0.048873375,0.069050304,0.062933706,0.05921643,0.042034991,0.051624448,0.066036572,0.090370969,0.051205278,0.050381087,0.08833658,0.094329326,0.070091602,0.07658174,0.06504378
INTL.4418-1-CUB-QBTU.A,        Cuba,0.010346448,0.010024427,0.010903522,0.01117224,0.01116036,0.011000691,0.012096468,0.011919336,0.013132128,0.013363392,0.018484795,0.01648729,0.016741107,0.011539706,0.01131953,0.009298601,0.011939904,0.011633332,0.010092821,0.011222604,0.011972097,0.01168516,0.01193128,0.009886495,0.01008809,0.005920908,0.00560082,0.005838778,0.007398397,0.013652037,0.01231783,0.012265864,0.013398562,0.014389419,0.013817786,0.010364247,0.009815508,0.007222992
INTL.4418-1-CYP-QBTU.A,        Cyprus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000009999,0.000009919,0.000029652,0.000402791,0.000576321,0.000937084,0.0019641,0.002582866,0.003178098,0.00295761,0.003699643,0.003905136,0.004007655
INTL.4418-1-CZE-QBTU.A,        Czech Republic,--,--,--,--,--,--,--,--,--,--,--,--,--,0.016927378,0.019249656,0.024810672,0.02416458,0.02257073,0.02019006,0.025524096,0.027733717,0.031132427,0.036175326,0.023315268,0.030628806,0.036082543,0.039390643,0.037525022,0.041225174,0.053751638,0.06878865,0.081231697,0.08691503,0.099377019,0.099688528,0.099451134,0.09940721,0.089725407
INTL.4418-1-CIV-QBTU.A,        Côte d’Ivoire,0.01397186,0.018041878,0.018095874,0.01122484,0.00385236,0.014040768,0.012315834,0.012669504,0.012667548,0.01304,0.013616218,0.012961512,0.010734996,0.011205883,0.011987192,0.018210992,0.01823976,0.01899618,0.013898511,0.017752336,0.017810946,0.018413406,0.017416176,0.01836675,0.018409408,0.015329467,0.015941817,0.018722273,0.019680409,0.0213012,0.016321788,0.017702552,0.017499924,0.01583806,0.01870617,0.013484593,0.019747248,0.015606822
INTL.4418-1-DNK-QBTU.A,        Denmark,0.00031164,0.000324043,0.000292712,0.0006312,0.00069948,0.000908889,0.00172359,0.002208828,0.003448216,0.004913472,0.009018534,0.011709192,0.015161372,0.018463419,0.020363784,0.02186144,0.02503314,0.033835669,0.044020449,0.049718812,0.062511728,0.067501872,0.076967104,0.090313682,0.10444258,0.109027381,0.102195984,0.112470409,0.111794714,0.109323604,0.131645297,0.148583874,0.151176549,0.163411823,0.182397589,0.187341573,0.182649135,0.208573107
INTL.4418-1-DJI-QBTU.A,        Djibouti,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000004758,4.7705E-06,0.000004755,4.6595E-06,0.000004616,4.6065E-06
