"","WTI","BRENT","ARAB_LIGHT","RIGS","FUEL_CONS","USA_OIL"
"185",52.08,49.3,47.87,150,86.664342069,5.039729
"186",56.63,55.36,54.23,146,84.729495535,5.094173
"187",60.71,59.77,58.34,170,85.891072583,5.162796
"188",68.63,66.8,61.94,206,84.17286591,5.150561
"189",66.21,61.7,60.57,210,83.299421513,5.081652
"190",59.8,58.47,56.62,217,86.806309091,5.027168
"191",57.33,53.25,54.95,253,87.542625603,5.03193
"192",61.06,58.34,56.65,247,84.720760231,5.047728
"193",67.86,63.19,58.19,242,87.056849677,4.98808
"194",61.37,59.78,57.35,209,84.983998599,4.856946
"195",66.25,66.06,60.07,244,82.178496565,4.554823
"196",71.8,72.15,64.01,259,84.219062744,4.213898
"197",71.42,67.57,66.51,261,85.578385708,5.198472
"198",73.94,73.2,68.58,285,83.671206287,5.253345
"199",74.56,74.75,67.11,298,85.709209655,5.442097
"200",70.38,67.66,63.27,316,82.333023322,5.596478
"201",62.9,59.09,58.16,305,83.141240564,5.562827
"202",58.72,56.13,54.59,288,86.095094375,5.600835
"203",62.97,64.36,54.25,288,86.570055247,5.501359
"204",60.85,58.96,54.89,281,84.410685009,5.446159
"205",58.17,56.52,51.79,270,86.619265074,5.510157
"206",61.78,59.39,55.67,266,84.936592159,5.423308
"207",65.94,68.47,57.91,282,83.66905559,5.169999
"208",65.78,67.23,62.65,285,83.539102116,5.081476
"209",64.02,68.18,68.08,282,83.268506566,5.324889
"210",70.47,72.22,70.51,283,83.109244406,5.484233
"211",78.2,77.01,73.67,285,83.491026603,5.406938
"212",73.98,72.29,77.18,306,80.355074361,5.555955
"213",81.64,80.97,82.95,302,82.579225989,5.560331
"214",94.16,89.87,87.86,321,84.013379743,5.61662
"215",88.6,88.71,88.55,341,83.662900989,5.571816
"216",95.95,93.68,85.01,338,82.011014059,5.584915
"217",91.67,91.58,93.59,321,83.606839969,5.571451
"218",101.78,100.9,98.31,331,80.638868914,5.546554
"219",101.54,102.33,108.62,343,81.576009603,5.613544
"220",113.7,111.12,119.11,358,80.410796014,5.609009
"221",127.35,127.85,129.15,375,79.357980825,5.57377
"222",139.96,138.4,129.66,383,79.908972591,5.498445
"223",124.17,124.1,116.08,380,78.911799766,5.659077
"224",115.55,113.49,108.96,397,77.906717855,5.663475
"225",100.7,93.52,75.15,417,78.292018195,5.725816
"226",68.1,60,62.44,422,79.601347842,5.803461
"227",55.21,47.72,48.26,426,82.504452389,5.782863
"228",44.6,35.82,39.33,391,80.330816372,5.755227
"229",41.73,44.17,38.7,328,80.97556523,5.721686
"230",44.15,44.41,44.3,271,80.252718128,5.623528
"231",49.64,46.13,51.68,225,79.578994011,5.358216
"232",50.35,50.3,56.21,209,78.025307641,5.411212
"233",66.31,64.98,61.88,187,78.308875143,5.795801
"234",69.82,68.11,67.89,194,78.74223561,5.750818
"235",69.26,70.08,66.06,245,77.465706534,5.884388
"236",69.97,69.02,68.92,279,76.597851585,5.905054
"237",70.46,65.82,73.06,293,77.519369847,5.844439
"238",77.04,74.91,74.91,312,78.27997234,5.885822
"239",77.19,77.77,74.15,362,79.091689027,5.880913
"240",79.39,77.91,72.38,404,78.566236502,5.87343
"241",72.85,71.2,77.79,433,78.471518188,5.887461
